Report: 2017-07-14_AA0003_r-012-01.txt
Sensor ID#: AA0003
Installed: 2017-07-14
Comm ID#: C-AA0009
Days active & report #: 012-01
Nest location: 3746.3222N,12226.3567W
Start date/time: 2017/07/24,16:26:31
Report date/time: 2017/07/25,16:25:38
Secs per rec: 0168
# of recs: 00F0
Battery level: 02B7

Rec#,Temp,   X,   Y,   Z, Cnt, Max,Bins: (Low) to (High)
00AA,017C,02EC,013E,FE10,89DD,000A,038C,0861,0825,1DD5,33CA,1EEA,04A5,0087,0014,0002
00AB,017B,02EC,013F,FE0E,89DD,000B,0891,08C2,1E0B,33F9,1E1F,0451,0097,0022,0001,0001
00AC,017C,02F0,013F,FE09,89E5,000A,0382,0884,087F,1DF3,33B0,1E8A,0488,0099,000F,0003
00AD,017C,02EC,0141,FE0C,89DA,000B,0883,08AC,1EA5,33BB,1DCA,043A,009A,0016,0002,0002
00AE,017C,02EC,0140,FE10,89D9,000B,0868,08C4,1D92,3470,1E45,0471,0092,0013,0001,0001
00AF,017C,02EE,013F,FE0F,89DC,000A,038D,08FB,0922,1F27,33F8,1C55,0410,008E,001C,0004
00B0,017D,02EE,0140,FE0C,89DD,000A,036C,0925,08DB,1E8D,33F3,1D16,0442,0083,0014,0002
00B1,017D,02EC,0141,FE0F,89DB,000C,0921,1F32,33D9,1C53,043A,0075,0010,0001,0000,0002
00B2,017E,02EE,0141,FE0C,89D6,000C,09CA,1EFF,331A,1D0F,03EC,0082,000F,0004,0001,0002
00B3,017C,02EF,0140,FE0E,89E7,000B,09BE,0A3C,1F15,32E0,1BAF,03EF,0077,0011,0003,0001
00B4,017D,02EC,013F,FE08,89E5,000B,0941,09D6,1FF7,328E,1C54,03E5,0096,0010,0000,0002
00B5,017F,02EC,013F,FE0C,89ED,000D,1E85,339B,1CA7,03E5,0082,0013,0001,0000,0000,0001
00B6,017F,02EF,0143,FE0C,89E1,000A,0393,093A,09C9,1EA2,33A9,1C64,040D,007D,000F,0003
00B7,017E,02EE,013F,FE0F,89E5,000B,0974,0A27,1F33,3306,1C3B,03ED,0076,000F,0002,0001
00B8,017F,02EC,013F,FE0F,89E3,000C,0A8C,1ED5,3377,1B1E,03F8,0094,0010,0003,0001,0001
00B9,0180,02EC,013F,FE0B,89E8,000A,036C,098B,0AB0,1FFF,32D1,1B82,0357,0083,0014,0001
00BA,0180,02EE,013F,FE0F,89EA,000A,03A7,0994,0AFD,1FCB,32B7,1B1C,037F,0082,0010,0003
00BB,0180,02EE,013F,FE0C,89E4,000A,03F8,09C4,0AC7,1FD6,3322,1A12,03C0,0075,0021,0001
00BC,0180,02EC,013F,FE0F,89E8,000A,03A8,0A32,0B57,2094,319E,1A43,03A6,007E,001D,0001
00BD,0180,02EE,013F,FE0D,89E9,000A,03CE,0975,0B34,206C,31D6,1AEF,03A7,007F,0019,0002
00BE,0183,02EF,013F,FE08,89EF,000A,03C7,0A0D,0B1F,2040,3375,1996,0327,0072,0017,0001
00BF,0182,02EC,0140,FE0F,89F7,0009,03DB,0A62,0B70,206E,3290,1946,0372,007B,0019,0000
00C0,0183,02EB,0140,FE0C,89F2,000A,038A,0A76,0BB1,2021,31B2,1A53,0384,0082,0012,0003
00C1,0184,02EB,013F,FE0C,8A02,000B,0AA6,0CB3,1F7A,31AC,19DD,0362,0079,0021,0002,0001
00C2,0184,02EF,0140,FE0F,8A00,000B,0AB5,0C7D,20A2,310F,199B,0351,0074,0014,0002,0001
00C3,0183,02EB,0140,FE16,89EE,000A,0403,0A54,0CD3,209B,31C3,18D2,02FD,007B,001A,0002
00C4,0184,02EF,013F,FE10,89F9,000C,0CD5,20EE,31B8,1895,02D9,0059,0005,0002,0000,0001
00C5,0184,02EE,013C,FE0E,8A02,000A,040C,0B2B,0C8A,2125,3136,1895,02E2,005A,0013,0002
00C6,0184,02EE,0140,FE11,8A02,000B,0B47,0D83,2095,30F8,1827,02B6,0086,0016,0006,0002
00C7,0184,02E7,013F,FE10,89FB,000C,0D5E,20DA,303D,18A6,02FC,0074,001A,0002,0000,0001
00C8,0184,02E7,0141,FE0F,89FD,000C,0D0D,20E8,2FAF,1987,035A,0093,0013,0001,0000,0001
00C9,0184,02EC,0146,FE0F,89FC,000C,0C6C,1F19,2F34,1A19,0477,01D4,00ED,0030,0000,0002
00CA,0186,02EC,0140,FE10,8A00,000C,0D67,217A,30C4,17A9,02FC,006F,0015,0002,0000,0001
00CB,0184,02EE,013F,FE0F,8A09,000C,0D2E,2129,309D,1843,02FE,0077,0010,0001,0000,0001
00CC,0184,02EC,013F,FE0F,8A06,000C,0DAF,20F3,3018,18B8,0303,0073,0010,0004,0002,0001
00CD,0185,02EC,013F,FE0C,8A0D,000A,03E3,0B80,0D98,20A2,30E5,180D,02E0,0081,0019,0004
00CE,0186,02EC,0140,FE0F,8A0B,000A,0424,0BDA,0DAA,217B,307D,172A,02D3,005C,000F,0003
00CF,0186,02EB,0140,FE13,8A16,000C,0DFE,2161,2FCE,173D,0316,0081,001F,0002,0000,0001
00D0,0186,02EC,013F,FE0C,8A1C,000B,0BB7,0D90,2100,3010,1855,02F4,0070,0014,0004,0002
00D1,0186,02EC,013E,FE13,8A1A,000B,0BC9,0E44,2198,2FAB,172D,02D6,0085,000D,0001,0001
00D2,0186,02EB,0141,FE0C,8A0C,0009,0441,0BE8,0E74,20ED,2FD3,1785,029C,007A,0014,0000
00D3,0186,02EF,013E,FE0F,8A18,0009,041B,0C7E,0E5C,21B8,2F97,1672,02CB,007C,001B,0000
