tDays,Energy,Count,EnergyPerCountFiltered,Temp,X,Y,Z,CalEn,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,BIN_5,BIN_6,BIN_7,BIN_8,BIN_9,BIN_10,BIN_11,BIN_12,BIN_13,BIN_14,BIN_15,BIN_16,BIN_17,BIN_18,BIN_19,BIN_20,BIN_21,BIN_22,BIN_23,BIN_24,BIN_25,BIN_26,BIN_27,BIN_28,BIN_29,comportamiento
55.49174769,162721,17741,9.172030889,875,64867,953,79,2104321070.0,748,1779,1469,3705,5456,3379,1061,118,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.49383102,154105,17737,8.688335119,867,64865,953,79,2104191338.0,797,1787,1559,3938,5375,3203,963,101,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.49591435,149801,17726,8.450919553,861,64864,956,71,2104128737.0,791,1945,1618,3949,5369,3057,885,91,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.49799769,151168,17725,8.528519041,867,64865,955,79,2104193246.0,805,1834,1507,3716,5702,3185,882,84,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.50008102,153516,17731,8.658056511,867,64864,956,73,2104128881.0,788,1768,1556,3831,5518,3227,949,80,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.50216435,161109,17728,9.087827166,871,64865,956,78,2104194123.0,772,1689,1316,3565,5944,3312,1016,88,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.50424769,161759,17740,9.11832018,875,64871,952,78,2104579515.0,702,1635,1490,3642,5788,3303,1051,111,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.50633102,165169,17736,9.312640956,873,64867,956,71,2104323333.0,756,1625,1412,3560,5726,3394,1129,112,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.50841435,184443,17732,10.40170314,863,64864,959,72,2104131681.0,638,1535,1364,3473,5444,3651,1364,221,33,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.51049769,199032,17719,11.23268807,859,64871,956,73,2104582953.0,584,1484,1282,3472,5229,3800,1478,319,58,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.51258102,174796,17717,9.866004403,856,64867,956,75,2104323625.0,642,1638,1369,3639,5455,3518,1232,194,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.51466435,171325,17711,9.673366834,854,64873,952,72,2104708809.0,728,1665,1270,3640,5586,3446,1182,159,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.51674769,179136,17726,10.10583324,863,64870,960,73,2104521915.0,820,1424,958,3511,5817,3619,1395,166,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.51883102,186701,17742,10.52310901,867,64867,960,71,2104327165.0,682,1411,1075,3305,5876,3734,1420,205,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.52091435,193425,17734,10.90701477,863,64870,956,79,2104518539.0,561,1325,1082,3268,5866,3855,1511,235,26,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55.52299769,169849,17718,9.586239982,856,64864,958,78,2104131172.0,625,1519,1381,3832,5662,3439,1048,178,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
